UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7001,M21860,M,302.6,310.6,1463,47.775,196,0,0,0,0,0,0
7002,L54181,L,302.5,310.5,1564,40.11000000000001,199,0,0,0,0,0,0
7003,H36416,H,302.5,310.6,1411,49.56,201,0,0,0,0,0,0
7004,L54183,L,302.5,310.6,1540,49.035000000000004,206,0,0,0,0,0,0
7005,L54184,L,302.5,310.6,1950,21.315,208,0,0,0,0,0,0
7006,M21865,M,302.6,310.7,1339,55.545,0,0,0,0,0,0,0
7007,H36420,H,302.6,310.6,1419,41.580000000000005,3,0,0,0,0,0,0
7008,L54187,L,302.5,310.6,1499,47.46000000000001,8,0,0,0,0,0,0
7009,L54188,L,302.5,310.6,1368,52.080000000000005,10,0,0,0,0,0,0
7010,L54189,L,302.5,310.5,1536,38.010000000000005,12,0,0,0,0,0,0
7011,M21870,M,302.5,310.5,1469,45.045,14,0,0,0,0,0,0
7012,L54191,L,302.5,310.5,2633,12.81,17,1,0,0,1,0,0
7013,L54192,L,302.4,310.4,1298,64.47,19,0,0,0,0,0,0
7014,M21873,M,302.4,310.4,1544,38.115,21,0,0,0,0,0,0
7015,H36428,H,302.5,310.5,1403,50.08500000000001,24,0,0,0,0,0,0
7016,L54195,L,302.5,310.5,1452,45.045,29,0,0,0,0,0,0
7017,L54196,L,302.6,310.5,1509,45.255,31,0,0,0,0,0,0
7018,M21877,M,302.7,310.6,1474,38.85,33,0,0,0,0,0,0
7019,M21878,M,302.7,310.7,1377,49.035000000000004,36,0,0,0,0,0,0
7020,L54199,L,302.8,310.8,1741,28.455000000000002,39,0,0,0,0,0,0
7021,L54200,L,302.8,310.8,1460,56.49,41,0,0,0,0,0,0
7022,H36435,H,302.7,310.6,1631,34.230000000000004,43,0,0,0,0,0,0
7023,L54202,L,302.7,310.5,1561,34.86000000000001,48,0,0,0,0,0,0
7024,M21883,M,302.7,310.6,1572,40.425000000000004,50,0,0,0,0,0,0
7025,L54204,L,302.6,310.6,2127,19.635,53,0,0,0,0,0,0
7026,H36439,H,302.6,310.6,1448,46.935,55,0,0,0,0,0,0
7027,L54206,L,302.6,310.7,1543,41.580000000000005,60,0,0,0,0,0,0
7028,L54207,L,302.6,310.6,1508,36.54,62,0,0,0,0,0,0
7029,M21888,M,302.6,310.6,1403,52.92,64,0,0,0,0,0,0
7030,L54209,L,302.6,310.6,1454,41.685,67,0,0,0,0,0,0
7031,L54210,L,302.7,310.8,1772,28.665000000000003,69,0,0,0,0,0,0
7032,L54211,L,302.7,310.8,1479,51.55500000000001,71,0,0,0,0,0,0
7033,L54212,L,302.7,310.9,1723,32.550000000000004,73,0,0,0,0,0,0
7034,M21893,M,302.7,310.8,1469,48.72,75,0,0,0,0,0,0
7035,H36448,H,302.6,310.6,1830,27.51,78,0,0,0,0,0,0
7036,L54215,L,302.6,310.6,1497,40.11000000000001,83,0,0,0,0,0,0
7037,L54216,L,302.7,310.6,1540,55.33500000000001,85,0,0,0,0,0,0
7038,L54217,L,302.6,310.6,1514,41.475,87,0,0,0,0,0,0
7039,L54218,L,302.7,310.6,1654,35.910000000000004,89,0,0,0,0,0,0
7040,H36453,H,302.6,310.5,1519,38.85,91,0,0,0,0,0,0
7041,L54220,L,302.7,310.6,1720,31.815,96,0,0,0,0,0,0
7042,L54221,L,302.6,310.5,1470,39.58500000000001,98,0,0,0,0,0,0
7043,L54222,L,302.6,310.5,1642,31.395,100,0,0,0,0,0,0
7044,M21903,M,302.7,310.6,2006,20.055000000000003,102,0,0,0,0,0,0
7045,M21904,M,302.7,310.6,1505,37.38,105,0,0,0,0,0,0
7046,M21905,M,302.7,310.6,1609,28.980000000000004,108,0,0,0,0,0,0
7047,M21906,M,302.7,310.5,1863,23.31,111,0,0,0,0,0,0
7048,L54227,L,302.6,310.4,1401,44.730000000000004,114,0,0,0,0,0,0
7049,L54228,L,302.6,310.4,2007,20.790000000000003,116,0,0,0,0,0,0
7050,L54229,L,302.6,310.4,1494,49.665,118,0,0,0,0,0,0
7051,L54230,L,302.6,310.4,1457,50.08500000000001,120,0,0,0,0,0,0
7052,L54231,L,302.6,310.4,1556,39.58500000000001,122,0,0,0,0,0,0
7053,H36466,H,302.6,310.4,1510,44.94,124,0,0,0,0,0,0
7054,H36467,H,302.7,310.5,1567,40.635000000000005,129,0,0,0,0,0,0
7055,H36468,H,302.7,310.5,1476,45.255,134,0,0,0,0,0,0
7056,L54235,L,302.8,310.6,1663,32.13,139,0,0,0,0,0,0
7057,M21916,M,302.8,310.5,1409,53.13,141,0,0,0,0,0,0
7058,L54237,L,302.8,310.6,1666,38.010000000000005,144,0,0,0,0,0,0
7059,L54238,L,302.7,310.6,1520,48.195,146,0,0,0,0,0,0
7060,L54239,L,302.6,310.5,1644,35.49,148,0,0,0,0,0,0
7061,H36474,H,302.6,310.4,1479,37.38,150,0,0,0,0,0,0
7062,L54241,L,302.6,310.4,1446,52.185,155,0,0,0,0,0,0
7063,M21922,M,302.6,310.4,1407,53.655,157,0,0,0,0,0,0
7064,L54243,L,302.7,310.4,1234,54.285000000000004,160,0,0,0,0,0,0
7065,M21924,M,302.8,310.5,1696,31.185000000000002,162,0,0,0,0,0,0
7066,L54245,L,302.8,310.6,1384,55.545,165,0,0,0,0,0,0
7067,M21926,M,302.8,310.7,1572,38.010000000000005,167,0,0,0,0,0,0
7068,M21927,M,302.8,310.7,1386,44.205000000000005,170,0,0,0,0,0,0
7069,L54248,L,302.8,310.7,1461,44.94,173,0,0,0,0,0,0
7070,L54249,L,302.8,310.7,1525,41.37,175,0,0,0,0,0,0
7071,L54250,L,302.7,310.7,1333,64.05,177,0,0,0,0,0,0
7072,H36485,H,302.7,310.6,1505,42.63,179,0,0,0,0,0,0
7073,M21932,M,302.7,310.6,1439,43.785000000000004,184,0,0,0,0,0,0
7074,L54253,L,302.7,310.6,1491,45.36000000000001,187,0,0,0,0,0,0
7075,M21934,M,302.7,310.6,1488,41.160000000000004,189,0,0,0,0,0,0
7076,L54255,L,302.7,310.5,1536,49.77,192,0,0,0,0,0,0
7077,L54256,L,302.7,310.5,1960,22.05,194,0,0,0,0,0,0
7078,M21937,M,302.7,310.5,1594,32.550000000000004,196,0,0,0,0,0,0
7079,L54258,L,302.7,310.5,1357,55.230000000000004,199,0,0,0,0,0,0
7080,L54259,L,302.7,310.5,1445,43.155,201,0,0,0,0,0,0
7081,L54260,L,302.7,310.4,1543,49.665,203,0,0,0,0,0,0
7082,L54261,L,302.7,310.4,1366,55.230000000000004,205,0,0,0,0,0,0
7083,L54262,L,302.7,310.3,1458,42.0,207,0,0,0,0,0,0
7084,L54263,L,302.7,310.4,1416,64.89,209,1,0,0,1,1,0
7085,L54264,L,302.6,310.3,1794,25.62,211,0,0,0,0,0,0
7086,L54265,L,302.6,310.3,1484,43.050000000000004,213,0,0,0,0,0,0
7087,L54266,L,302.6,310.4,2514,14.07,215,0,0,0,0,0,0
7088,L54267,L,302.6,310.3,1648,32.025,217,1,1,0,0,0,0
7089,M21948,M,302.6,310.3,1614,34.33500000000001,0,0,0,0,0,0,0
7090,L54269,L,302.6,310.2,1622,35.805,3,0,0,0,0,0,0
7091,M21950,M,302.6,310.2,1478,42.105000000000004,5,0,0,0,0,0,0
7092,L54271,L,302.6,310.2,1318,53.550000000000004,8,0,0,0,0,0,0
7093,L54272,L,302.7,310.2,1493,37.695,10,0,0,0,0,0,0
7094,H36507,H,302.7,310.3,1369,53.23500000000001,12,0,0,0,0,0,0
7095,L54274,L,302.6,310.2,1447,48.195,17,0,0,0,0,0,0
7096,L54275,L,302.6,310.1,1485,52.395,19,0,0,0,0,0,0
7097,L54276,L,302.6,310.2,1489,50.19,21,0,0,0,0,0,0
7098,M21957,M,302.6,310.2,1233,54.915,23,0,0,0,0,0,0
7099,L54278,L,302.7,310.2,1642,34.230000000000004,26,0,0,0,0,0,0
7100,M21959,M,302.7,310.2,1373,46.30500000000001,28,0,0,0,0,0,0
7101,L54280,L,302.7,310.2,1569,34.44,31,0,0,0,0,0,0
7102,L54281,L,302.8,310.2,1850,23.94,33,0,0,0,0,0,0
7103,M21962,M,302.8,310.3,1494,44.31,35,0,0,0,0,0,0
7104,H36517,H,302.8,310.3,1777,31.605000000000004,38,0,0,0,0,0,0
7105,L54284,L,302.9,310.4,1454,45.255,43,0,0,0,0,0,0
7106,L54285,L,302.9,310.4,1536,35.910000000000004,45,0,0,0,0,0,0
7107,L54286,L,302.8,310.5,1482,40.95,47,0,0,0,0,0,0
7108,H36521,H,302.9,310.5,1512,43.260000000000005,49,0,0,0,0,0,0
7109,M21968,M,302.8,310.5,1511,37.589999999999996,54,0,0,0,0,0,0
7110,L54289,L,302.9,310.5,1599,42.525,57,0,0,0,0,0,0
7111,M21970,M,302.8,310.4,1518,37.800000000000004,59,0,0,0,0,0,0
7112,M21971,M,302.8,310.4,1450,41.37,62,0,0,0,0,0,0
7113,L54292,L,302.9,310.4,1427,49.35,65,0,0,0,0,0,0
7114,L54293,L,302.9,310.4,1561,34.33500000000001,67,0,0,0,0,0,0
7115,H36528,H,302.9,310.4,1457,45.99,69,0,0,0,0,0,0
7116,M21975,M,303.0,310.6,1460,56.28,74,0,0,0,0,0,0
7117,L54296,L,303.0,310.5,1601,34.86000000000001,77,0,0,0,0,0,0
7118,L54297,L,302.9,310.5,1570,42.105000000000004,79,0,0,0,0,0,0
7119,L54298,L,302.9,310.5,1565,37.695,81,0,0,0,0,0,0
7120,L54299,L,303.0,310.5,1378,46.62,83,0,0,0,0,0,0
7121,L54300,L,302.9,310.5,2288,16.905,85,0,0,0,0,0,0
7122,M21981,M,302.9,310.4,1375,46.935,87,0,0,0,0,0,0
7123,L54302,L,302.9,310.4,1788,29.19,90,0,0,0,0,0,0
